Name,Date,URL,Post,Likes,Comments,Shares,Engagement Score,Reach
VogueEspana,25/10/2017 16:00,http://www.facebook.com/98367118441_10155963419093442,"Ver un stories de alguien sin ser visto, cambiar las letras a los colores de un Unicornio... ¿Puede una chica postmillenial enseñarte los trucos más alucinantes de Instagram? Nuestro #FashionDrama tiene la respuesta. ¡Play! bit.ly/2yN0rHA",7533,1817,3045,976,2489049
NIVEA MEN India,26/10/2017 14:29,http://www.facebook.com/614717211952083_1532403943516734,"Get, fresh, go! #GetAFreshStart with the NIVEA MEN Fresh Active Deodorant. Get yours, today! http://bit.ly/NIVEAMen-FreshActiveDeodorant",296532,602,426,1000,2485955
O Boticário,27/10/2017 15:00,http://www.facebook.com/140105282727777_1695475617190728,"Sabe aquela tranquilidade que o clima do campo e uma conversa ao ar livre nos trazem? Aaah! Esses momentos nos inspiram a viver novas histórias! E, para isso, nada melhor do que o New Acqua Fresca, a fragrância que chegou para inspirar novos sentimentos em você. E aí, ficou com vontade de experimentar essa novidade? ??????Produtos na Imagem: ?New Acqua Fresca Des. Colônia: http://bit.ly/2xRjThv??#pracegover: na imagem, o New Acqua Fresca esta sobre uma mesa de madeira, ao lado de um vaso de flores vermelhas. Ao fundo, um calendário na página do mês de Outubro com algumas datas riscadas.",197778,2543,3100,992,2475238
ClubGlamrs,21/10/2017 06:30,http://www.facebook.com/319863888091100_1488237491253728,The quintessential saree hack video every girl must see!,9283,259,2003,762,2459723
Sephora,23/10/2017 12:24,http://www.facebook.com/16453004404_10155331722549405,Countdown to ColourPop! ? Only 8 days ‘til you can shop online and in select stores: http://seph.me/2z1uyvs,21497,5532,2355,708,2458664
O Boticário,17/10/2017 08:00,http://www.facebook.com/140105282727777_1691802067558083,"Conheça a linha completa de Malbec Gold! E na compra de dois ou mais itens da linha Malbec Gold, você recebe 15% de desconto. Precisamos dizer mais???Produtos na Imagem: ?Malbec Gold Des. Colônia?Malbec Gold Desodorante Aerosol Antitranspirante?Malbec Gold Shower Gel 2 Em 1 Cabelo E Corpo??*Promoção não cumulativa e válida de 16/10/2017 a 05/11/2017 ou enquanto durarem os estoques. Consulte os itens participantes.??#pracegover na imagem, uma prateleira na cor cinza, sobre a qual estão três produtos da linha Malbec Gold: Malbec Gold Des. Colônia, Malbec Gold Desodorante Aerosol Antitranspirante e Malbec Gold Shower Gel 2 Em 1 Cabelo E Corpo. No canto esquerdo superior, há o texto: ""Uma linha completa pra você surpreender"". Embaixo da prateleira há ganchos, nos quais estão penduradas quatro gravatas e dois relógios.",52688,1426,2165,803,2438136
ClubGlamrs,30/10/2017 01:30,http://www.facebook.com/319863888091100_1482188385191972,"This easy 6 step bun is going to blow your mind! It's easy, heatless and all you need is a sock and a couple of bobby pins!",21932,140,2333,881,2420431
As I Am,16/10/2017 15:32,http://www.facebook.com/298072704791_10155544524299792,Elle P Stewart is so excited to share this Halloween video with all of her ????. Watch this super fun tutorial featuring products our As I Am Born Curly. Get them at bit.ly/BornCurlyAIA,11683,1423,1598,999,2410482
LUX,11/10/2017 08:05,http://www.facebook.com/198681730247947_10159478091660578,"The captivating scent of Egyptian Roses, combined with the rich sweetness of Musk Vanilla, makes the Lux Hypnotic Rose perfumed bar everything you need to be unforgettable. ??#LuxHypnoticRose #LuxPerfumedSoap #perfumedsoap #Lux #LuxFragrance",47749,420,638,1000,2406628
O Boticário,15/10/2017 18:30,http://www.facebook.com/140105282727777_1688153557922934,Chegou o novo Malbec Gold com a exclusiva tecnologia Goldsense. Dê o play e desperte imaginações!,28682,962,2732,702,2386610
